stimulus_row_id,triplet_id,vowel_class,category,primary_suffix,secondary_suffix,root_A,root_B,A_x,A_y,B_x,zipf_A,zipf_B,zipf_diff,BERTurk_all_split,BERTurk_shared_final_subtoken,model,model_name,layer,pooling,A_x_model_ntokens,A_y_model_ntokens,B_x_model_ntokens,all_three_words_split_model,sim_same_root,sim_same_suffix,delta
58,T028,kalın,strong_deriv,WITHOUT,PLURAL,kapı,ayak,kapısız,kapılar,ayaksız,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,2,1,2,False,0.743505779969321,0.8028655090903491,-0.05935972912102816
59,T029,kalın,strong_deriv,WITHOUT,PLURAL,kafa,masa,kafasız,kafalar,masasız,4.93,4.56,0.37,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,2,2,2,True,0.831149759798603,0.7981384333280751,0.033011326470527846
60,T030,kalın,strong_deriv,WITHOUT,PLURAL,okul,kalp,okulsuz,okullar,kalpsız,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,2,1,2,False,0.7573160470694524,0.8161463957747186,-0.058830348705266156
1,T001,ince,inflectional,PLURAL,LOCATIVE,ev,göz,evler,evde,gözler,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8323711032714675,0.8586253385695354,-0.02625423529806792
2,T002,ince,inflectional,PLURAL,LOCATIVE,deniz,şehir,denizler,denizde,şehirler,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,1,False,0.6152429053507527,0.6982278155962959,-0.08298491024554322
3,T003,ince,inflectional,PLURAL,LOCATIVE,köpek,çiçek,köpekler,köpekte,çiçekler,4.98,4.92,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,2,1,False,0.6963346045868144,0.8333070535629329,-0.1369724489761185
4,T004,ince,inflectional,PLURAL,LOCATIVE,gemi,ekmek,gemiler,gemide,ekmekler,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8837769703466339,0.685505899448031,0.19827107089860296
5,T005,ince,inflectional,PLURAL,LOCATIVE,göz,deniz,gözler,gözde,denizler,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8798977403729838,0.6750546317244395,0.20484310864854438
6,T006,ince,inflectional,LOCATIVE,PLURAL,ev,göz,evde,evler,gözde,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8323711032714675,0.8682333794499254,-0.03586227617845794
7,T007,ince,inflectional,LOCATIVE,PLURAL,deniz,şehir,denizde,denizler,şehirde,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,2,1,False,0.6152429053507527,0.8186891425796226,-0.2034462372288699
8,T008,ince,inflectional,LOCATIVE,PLURAL,köpek,çiçek,köpekte,köpekler,çiçekte,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6963346045868144,0.8317266456760083,-0.1353920410891939
9,T009,ince,inflectional,LOCATIVE,PLURAL,gemi,ekmek,gemide,gemiler,ekmekte,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8837769703466339,0.5761760424321862,0.3076009279144477
10,T010,ince,inflectional,LOCATIVE,PLURAL,göz,deniz,gözde,gözler,denizde,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8798977403729838,0.8336043248170232,0.04629341555596067
11,T011,ince,inflectional,ABLATIVE,PLURAL,ev,göz,evden,evler,gözden,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8491645792529071,0.7946136515385367,0.05455092771437042
12,T012,ince,inflectional,ABLATIVE,PLURAL,deniz,şehir,denizden,denizler,şehirden,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,2,1,False,0.6093938052640816,0.8897680178072487,-0.2803742125431671
13,T013,ince,inflectional,ABLATIVE,PLURAL,köpek,çiçek,köpekten,köpekler,çiçekten,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.7051882935172297,0.8520456844690236,-0.14685739095179395
14,T014,ince,inflectional,ABLATIVE,PLURAL,gemi,ekmek,gemiden,gemiler,ekmekten,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6833701097335529,0.8171223840667566,-0.1337522743332037
15,T015,ince,inflectional,ABLATIVE,PLURAL,göz,deniz,gözden,gözler,denizden,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8044186318565146,0.775173639130662,0.02924499272585268
16,T016,ince,light_deriv,WITH,PLURAL,ev,göz,evli,evler,gözlü,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8046963938671643,0.7855661718435241,0.01913022202364023
17,T017,ince,light_deriv,WITH,PLURAL,deniz,şehir,denizli,denizler,şehirli,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8455654771015638,0.8477974261768415,-0.002231949075277684
18,T018,ince,light_deriv,WITH,PLURAL,köpek,çiçek,köpekli,köpekler,çiçekli,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6999104971164541,0.8359015792676869,-0.1359910821512328
19,T019,ince,light_deriv,WITH,PLURAL,gemi,ekmek,gemili,gemiler,ekmekli,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6618953357552678,0.833849175128773,-0.17195383937350517
20,T020,ince,light_deriv,WITH,PLURAL,göz,deniz,gözlü,gözler,denizli,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.7554813297324164,0.45393470918378886,0.3015466205486276
21,T021,ince,light_deriv,NOMINAL,PLURAL,ev,göz,evlik,evler,gözlük,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,1,False,0.6036840611485171,0.6042821752230334,-0.000598114074516265
22,T022,ince,light_deriv,NOMINAL,PLURAL,deniz,şehir,denizlik,denizler,şehirlik,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8549513002160333,0.8593651179953014,-0.004413817779268081
23,T023,ince,light_deriv,NOMINAL,PLURAL,köpek,çiçek,köpeklik,köpekler,çiçeklik,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.7057092814564654,0.8419498058162723,-0.13624052435980694
24,T024,ince,light_deriv,NOMINAL,PLURAL,gemi,ekmek,gemilik,gemiler,ekmeklik,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6868751712488861,0.8279866038997682,-0.1411114326508821
25,T025,ince,light_deriv,NOMINAL,PLURAL,göz,deniz,gözlük,gözler,denizlik,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8482153504616379,0.6220579010551416,0.2261574494064963
26,T026,ince,strong_deriv,WITHOUT,PLURAL,ev,göz,evsiz,evler,gözsüz,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6373645784384032,0.8199151814133535,-0.1825506029749503
27,T027,ince,strong_deriv,WITHOUT,PLURAL,deniz,şehir,denizsiz,denizler,şehirsiz,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8559691069586803,0.8889006845807548,-0.03293157762207444
28,T028,ince,strong_deriv,WITHOUT,PLURAL,köpek,çiçek,köpeksiz,köpekler,çiçeksiz,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6833797030328368,0.8641517208434644,-0.18077201781062757
29,T029,ince,strong_deriv,WITHOUT,PLURAL,gemi,ekmek,gemisiz,gemiler,ekmeksiz,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6762154887817583,0.7468720275876118,-0.07065653880585354
30,T030,ince,strong_deriv,WITHOUT,PLURAL,göz,deniz,gözsüz,gözler,denizsiz,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.7088279842659949,0.8424146842360568,-0.1335866999700619
31,T001,kalın,inflectional,PLURAL,LOCATIVE,kitap,okul,kitaplar,kitapta,okullar,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8071397970530283,0.8079926542875081,-0.0008528572344798091
32,T002,kalın,inflectional,PLURAL,LOCATIVE,kalp,taş,kalplar,kalpta,taşlar,5.14,5.13,0.01,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,1,False,0.862305375987687,0.662085424726609,0.20021995126107794
33,T003,kalın,inflectional,PLURAL,LOCATIVE,kapı,ayak,kapılar,kapıda,ayaklar,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.7620882659499042,0.8514750445831124,-0.08938677863320821
34,T004,kalın,inflectional,PLURAL,LOCATIVE,kafa,masa,kafalar,kafada,masalar,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.859830816326931,0.789892074351444,0.069938741975487
35,T005,kalın,inflectional,PLURAL,LOCATIVE,okul,kalp,okullar,okulda,kalplar,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8585195913591284,0.6998646189648695,0.15865497239425885
36,T006,kalın,inflectional,LOCATIVE,PLURAL,kitap,okul,kitapta,kitaplar,okulda,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.8071397970530283,0.8671399539039713,-0.060000156850942954
37,T007,kalın,inflectional,LOCATIVE,PLURAL,kalp,taş,kalpta,kalplar,taşta,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.862305375987687,0.7842965462383711,0.07800882974931589
38,T008,kalın,inflectional,LOCATIVE,PLURAL,kapı,ayak,kapıda,kapılar,ayakta,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.7620882659499042,0.832355427455251,-0.07026716150534684
39,T009,kalın,inflectional,LOCATIVE,PLURAL,kafa,masa,kafada,kafalar,masada,4.93,4.56,0.37,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,1,False,0.859830816326931,0.5841787912221571,0.27565202510477393
40,T010,kalın,inflectional,LOCATIVE,PLURAL,okul,kalp,okulda,okullar,kalpta,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8585195913591284,0.6118046378001101,0.2467149535590183
41,T011,kalın,inflectional,ABLATIVE,PLURAL,kitap,okul,kitaptan,kitaplar,okuldan,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,1,False,0.7931963247090874,0.8694095006326975,-0.0762131759236101
42,T012,kalın,inflectional,ABLATIVE,PLURAL,kalp,taş,kalptan,kalplar,taştan,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8516075366293194,0.7663956436305307,0.08521189299878873
43,T013,kalın,inflectional,ABLATIVE,PLURAL,kapı,ayak,kapıdan,kapılar,ayaktan,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.818031935207559,0.6338185320054658,0.18421340320209323
44,T014,kalın,inflectional,ABLATIVE,PLURAL,kafa,masa,kafadan,kafalar,masadan,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8252367585013535,0.7932454339757693,0.031991324525584175
45,T015,kalın,inflectional,ABLATIVE,PLURAL,okul,kalp,okuldan,okullar,kalptan,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,1,1,2,False,0.8594472316109102,0.595961495067678,0.26348573654323215
46,T016,kalın,light_deriv,WITH,PLURAL,kitap,okul,kitaplı,kitaplar,okullu,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6526800815676197,0.8177017992720003,-0.16502171770438057
47,T017,kalın,light_deriv,WITH,PLURAL,kalp,taş,kalplı,kalplar,taşlı,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.88566163412129,0.8020866201060767,0.08357501401521328
48,T018,kalın,light_deriv,WITH,PLURAL,kapı,ayak,kapılı,kapılar,ayaklı,5.04,4.98,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6813818279634115,0.8532727713891618,-0.1718909434257503
49,T019,kalın,light_deriv,WITH,PLURAL,kafa,masa,kafalı,kafalar,masalı,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8330517911801704,0.691416665079618,0.1416351261005524
50,T020,kalın,light_deriv,WITH,PLURAL,okul,kalp,okullu,okullar,kalplı,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6851922228727517,0.762432674008494,-0.0772404511357423
51,T021,kalın,light_deriv,NOMINAL,PLURAL,kitap,okul,kitaplık,kitaplar,okulluk,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6427695190542858,0.7919363030664075,-0.1491667840121217
52,T022,kalın,light_deriv,NOMINAL,PLURAL,kalp,taş,kalplık,kalplar,taşlık,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.886125456863639,0.7899343307585699,0.09619112610506908
53,T023,kalın,light_deriv,NOMINAL,PLURAL,kapı,ayak,kapılık,kapılar,ayaklık,5.04,4.98,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6608439540527598,0.8621471447931239,-0.20130319074036418
54,T024,kalın,light_deriv,NOMINAL,PLURAL,kafa,masa,kafalık,kafalar,masalık,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8649591228538632,0.7288984165072577,0.1360607063466055
55,T025,kalın,light_deriv,NOMINAL,PLURAL,okul,kalp,okulluk,okullar,kalplık,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6989324760192493,0.7740043016502889,-0.07507182563103953
56,T026,kalın,strong_deriv,WITHOUT,PLURAL,kitap,okul,kitapsız,kitaplar,okulsuz,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6705516006850633,0.8590721026829015,-0.1885205019978382
57,T027,kalın,strong_deriv,WITHOUT,PLURAL,kalp,taş,kalpsız,kalplar,taşsız,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8273439925932513,0.8399701486527565,-0.012626156059505234
58,T028,kalın,strong_deriv,WITHOUT,PLURAL,kapı,ayak,kapısız,kapılar,ayaksız,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6336023040921258,0.789741821586637,-0.15613951749451116
59,T029,kalın,strong_deriv,WITHOUT,PLURAL,kafa,masa,kafasız,kafalar,masasız,4.93,4.56,0.37,True,True,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,2,2,True,0.8266246229950339,0.794047251450538,0.032577371544495914
60,T030,kalın,strong_deriv,WITHOUT,PLURAL,okul,kalp,okulsuz,okullar,kalpsız,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,7,max,2,1,2,False,0.6607215358824652,0.8154224037987192,-0.15470086791625404
1,T001,ince,inflectional,PLURAL,LOCATIVE,ev,göz,evler,evde,gözler,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.870232626710753,0.8344348187203158,0.03579780799043719
2,T002,ince,inflectional,PLURAL,LOCATIVE,deniz,şehir,denizler,denizde,şehirler,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,1,False,0.6203383432849983,0.693844681502361,-0.07350633821736274
3,T003,ince,inflectional,PLURAL,LOCATIVE,köpek,çiçek,köpekler,köpekte,çiçekler,4.98,4.92,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,2,1,False,0.7132675149682239,0.8105614186865349,-0.09729390371831093
4,T004,ince,inflectional,PLURAL,LOCATIVE,gemi,ekmek,gemiler,gemide,ekmekler,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8939225158471402,0.6348350288890324,0.2590874869581078
5,T005,ince,inflectional,PLURAL,LOCATIVE,göz,deniz,gözler,gözde,denizler,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.876954036877722,0.6449483289986229,0.23200570787909913
6,T006,ince,inflectional,LOCATIVE,PLURAL,ev,göz,evde,evler,gözde,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.870232626710753,0.8831297504716088,-0.012897123760855833
7,T007,ince,inflectional,LOCATIVE,PLURAL,deniz,şehir,denizde,denizler,şehirde,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,2,1,False,0.6203383432849983,0.7870143696593666,-0.1666760263743683
8,T008,ince,inflectional,LOCATIVE,PLURAL,köpek,çiçek,köpekte,köpekler,çiçekte,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.7132675149682239,0.7273340629568447,-0.014066547988620726
9,T009,ince,inflectional,LOCATIVE,PLURAL,gemi,ekmek,gemide,gemiler,ekmekte,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8939225158471402,0.5037211424925304,0.3902013733546098
10,T010,ince,inflectional,LOCATIVE,PLURAL,göz,deniz,gözde,gözler,denizde,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.876954036877722,0.8374426561899564,0.03951138068776561
11,T011,ince,inflectional,ABLATIVE,PLURAL,ev,göz,evden,evler,gözden,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8651322881812586,0.7782207150131467,0.08691157316811193
12,T012,ince,inflectional,ABLATIVE,PLURAL,deniz,şehir,denizden,denizler,şehirden,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,2,1,False,0.5995560283061053,0.8734019409080578,-0.27384591260195246
13,T013,ince,inflectional,ABLATIVE,PLURAL,köpek,çiçek,köpekten,köpekler,çiçekten,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.7263185729827281,0.7397514952859432,-0.013432922303215133
14,T014,ince,inflectional,ABLATIVE,PLURAL,gemi,ekmek,gemiden,gemiler,ekmekten,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6655913151619312,0.5997710184116108,0.0658202967503203
15,T015,ince,inflectional,ABLATIVE,PLURAL,göz,deniz,gözden,gözler,denizden,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.812238950749381,0.7955850063336745,0.016653944415706556
16,T016,ince,light_deriv,WITH,PLURAL,ev,göz,evli,evler,gözlü,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8013954296343352,0.7347999131910717,0.06659551644326345
17,T017,ince,light_deriv,WITH,PLURAL,deniz,şehir,denizli,denizler,şehirli,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.7562398683138203,0.7917924639558641,-0.03555259564204383
18,T018,ince,light_deriv,WITH,PLURAL,köpek,çiçek,köpekli,köpekler,çiçekli,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6694804878823072,0.7150245235659919,-0.0455440356836847
19,T019,ince,light_deriv,WITH,PLURAL,gemi,ekmek,gemili,gemiler,ekmekli,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6519878345971316,0.6870767454887678,-0.03508891089163624
20,T020,ince,light_deriv,WITH,PLURAL,göz,deniz,gözlü,gözler,denizli,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8001305888607554,0.42108877264402567,0.3790418162167297
21,T021,ince,light_deriv,NOMINAL,PLURAL,ev,göz,evlik,evler,gözlük,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,1,False,0.615726152682791,0.5581509704706091,0.05757518221218183
22,T022,ince,light_deriv,NOMINAL,PLURAL,deniz,şehir,denizlik,denizler,şehirlik,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.7903201481458395,0.7343538765999029,0.055966271545936586
23,T023,ince,light_deriv,NOMINAL,PLURAL,köpek,çiçek,köpeklik,köpekler,çiçeklik,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6834667404675716,0.6866133246563911,-0.0031465841888195234
24,T024,ince,light_deriv,NOMINAL,PLURAL,gemi,ekmek,gemilik,gemiler,ekmeklik,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.641109515912914,0.6597377611465333,-0.01862824523361928
25,T025,ince,light_deriv,NOMINAL,PLURAL,göz,deniz,gözlük,gözler,denizlik,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8715810878252913,0.5669041031523343,0.304676984672957
26,T026,ince,strong_deriv,WITHOUT,PLURAL,ev,göz,evsiz,evler,gözsüz,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6871632415485545,0.6736201258317444,0.013543115716810106
27,T027,ince,strong_deriv,WITHOUT,PLURAL,deniz,şehir,denizsiz,denizler,şehirsiz,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.7846075455882134,0.8040513080014066,-0.019443762413193122
28,T028,ince,strong_deriv,WITHOUT,PLURAL,köpek,çiçek,köpeksiz,köpekler,çiçeksiz,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6803382063721793,0.7104696866640255,-0.030131480291846202
29,T029,ince,strong_deriv,WITHOUT,PLURAL,gemi,ekmek,gemisiz,gemiler,ekmeksiz,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.626104586250721,0.5277823172608387,0.09832226898988228
30,T030,ince,strong_deriv,WITHOUT,PLURAL,göz,deniz,gözsüz,gözler,denizsiz,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,1,2,False,0.6488272412034277,0.6988871628333824,-0.05005992162995465
31,T001,kalın,inflectional,PLURAL,LOCATIVE,kitap,okul,kitaplar,kitapta,okullar,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8376249297026173,0.8376041096642411,2.082003837611257e-05
32,T002,kalın,inflectional,PLURAL,LOCATIVE,kalp,taş,kalplar,kalpta,taşlar,5.14,5.13,0.01,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,1,False,0.5983935270598096,0.6228385019576831,-0.02444497489787345
33,T003,kalın,inflectional,PLURAL,LOCATIVE,kapı,ayak,kapılar,kapıda,ayaklar,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8056325634497117,0.8478411813269601,-0.04220861787724839
34,T004,kalın,inflectional,PLURAL,LOCATIVE,kafa,masa,kafalar,kafada,masalar,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.7404231707177451,0.5987448020847438,0.14167836863300132
35,T005,kalın,inflectional,PLURAL,LOCATIVE,okul,kalp,okullar,okulda,kalplar,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8696525737002289,0.5806070673296063,0.28904550637062254
36,T006,kalın,inflectional,LOCATIVE,PLURAL,kitap,okul,kitapta,kitaplar,okulda,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8376249297026173,0.8357041316709198,0.0019207980316974238
37,T007,kalın,inflectional,LOCATIVE,PLURAL,kalp,taş,kalpta,kalplar,taşta,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.5983935270598096,0.6368411448144168,-0.038447617754607144
38,T008,kalın,inflectional,LOCATIVE,PLURAL,kapı,ayak,kapıda,kapılar,ayakta,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8056325634497117,0.7831941374559622,0.022438425993749456
39,T009,kalın,inflectional,LOCATIVE,PLURAL,kafa,masa,kafada,kafalar,masada,4.93,4.56,0.37,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,1,False,0.7404231707177451,0.5944817572514084,0.1459414134663367
40,T010,kalın,inflectional,LOCATIVE,PLURAL,okul,kalp,okulda,okullar,kalpta,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.8696525737002289,0.4893445408738255,0.38030803282640335
41,T011,kalın,inflectional,ABLATIVE,PLURAL,kitap,okul,kitaptan,kitaplar,okuldan,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,1,False,0.8361974321000296,0.825380069897301,0.010817362202728664
42,T012,kalın,inflectional,ABLATIVE,PLURAL,kalp,taş,kalptan,kalplar,taştan,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.6177759406096948,0.6795984743921364,-0.061822533782441624
43,T013,kalın,inflectional,ABLATIVE,PLURAL,kapı,ayak,kapıdan,kapılar,ayaktan,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,1,1,2,False,0.7817747715601311,0.5604119000390769,0.22136287152105416
44,T014,kalın,inflectional,ABLATIVE,PLURAL,kafa,masa,kafadan,kafalar,masadan,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,12,first,2,2,2,True,0.7127102467351097,0.6302049212571758,0.08250532547793399
